stock_id,StrategyRank,Chart,stock_name,industry_category,Rating,total_score,current_price,MA240,BiasRate,score_fill,score_roa,score_yield,cash_dividend,avg_yield,avg_fill_days,avg_roa,avg_core_ratio,price_date,RatingRank
3679,190,,新至陞,電子零組件業,Unqualified,3,117.0,126.6,-0.07582938388625589,0,0,3,9.1,7.75343335551244,331.25,0,0,2026-01-29,1
1599,191,,宏佳騰,電機機械,Unqualified,3,27.05,29.263958333333335,-0.07565478012629304,1,0,2,1.7620053425,4.1306495442784605,72.0,0,0,2026-01-29,1
8931,192,,大汽電,油電燃氣業,Unqualified,3,45.7,49.38375,-0.07459437568025912,1,0,2,1.9,4.240729832742295,95.75,0,0,2026-01-29,1
1569,193,,濱川,電腦及週邊設備業,Unqualified,4,53.7,58.01083333333334,-0.0743108327467571,1,0,3,1.6994956733333335,6.603551274863396,107.0,0,0,2026-01-29,1
2616,194,,山隆,油電燃氣業,Unqualified,2,13.85,14.960416666666667,-0.07422364573179228,0,0,2,1.4060000000000001,4.234556469772292,143.5,0,0,2026-01-29,1
2373,195,,震旦行,電子工業,Unqualified,3,54.9,59.24041666666667,-0.07326782812972567,0,0,3,4.68,5.816659050309757,,0,0,2026-01-29,1
6121,196,,新普,電腦及週邊設備業,Unqualified,2,343.0,370.0875,-0.0731921505049481,0,0,2,13.822222222222223,4.1707611402394384,128.22222222222223,0,0,2026-01-29,1
2247,197,,汎德永業,汽車工業,Unqualified,3,274.5,296.025,-0.07271345325563712,0,0,3,14.9,5.177453713117044,289.3333333333333,0,0,2026-01-29,1
9905,198,,大華,其他,Unqualified,3,20.15,21.709166666666665,-0.07182065947564391,0,0,3,1.3,5.093324865111408,,0,0,2026-01-29,1
6203,199,,海韻電,電子零組件業,Unqualified,3,66.4,71.51833333333333,-0.07156673114119912,0,0,3,4.686056362,5.988495738979994,215.0,0,0,2026-01-29,1
4104,200,,佳醫,生技醫療業,Unqualified,3,78.8,84.86999999999999,-0.07152114999410857,1,0,2,3.65,4.636672144023412,82.33333333333333,0,0,2026-01-29,1
3213,201,,茂訊,電腦及週邊設備業,Unqualified,4,100.5,108.15916666666665,-0.07081384687690195,1,0,3,4.640000000000001,6.310187721581984,75.4,0,0,2026-01-29,1
2745,202,,五福,觀光餐旅,Unqualified,5,106.0,114.07041666666667,-0.07074942743699986,3,0,2,5.0,4.526118657176873,8.0,0,0,2026-01-29,1
5015,203,,華祺,鋼鐵工業,Unqualified,5,30.0,32.280208333333334,-0.07063796831133631,2,0,3,3.2600000000000002,7.394259877348295,51.5,0,0,2026-01-29,1
5548,204,,安倉,建材營造,Unqualified,5,23.0,24.746875,-0.07058972092435911,3,0,2,1.3001653633333332,4.8661345097909035,0.0,0,0,2026-01-29,1
7718,205,,友鋮,鋼鐵工業,Unqualified,5,45.1,48.473124999999996,-0.06958752917209268,2,0,3,3.25,6.2554449112824075,40.0,0,0,2026-01-29,1
1582,206,,信錦,電子零組件業,Unqualified,3,69.8,75.00041666666668,-0.06933850367497979,0,0,3,3.9060285300000004,5.080876115392033,232.25,0,0,2026-01-29,1
4767,207,,誠泰科技,化學工業,Unqualified,3,25.35,27.236875,-0.06927648638105509,1,0,2,1.46,4.787092092896183,86.5,0,0,2026-01-29,1
9917,208,,中保科,其他,Unqualified,2,106.0,113.87916666666666,-0.06918883319307742,0,0,2,5.064,4.44718090164847,121.0,0,0,2026-01-29,1
8367,209,,建新國際,航運業,Unqualified,4,43.0,46.158125,-0.06841969859044314,1,0,3,2.419976794,5.213971520092866,83.5,0,0,2026-01-29,1
1817,210,,凱撒衛,玻璃陶瓷,Unqualified,3,38.7,41.534375,-0.06824166729365723,0,0,3,2.1,5.418896534573199,211.0,0,0,2026-01-29,1
2115,211,,六暉-KY,汽車工業,Unqualified,2,25.05,26.884166666666665,-0.06822479154396943,0,0,2,1.45999999,4.1672544082995255,315.0,0,0,2026-01-29,1
6637,212,,醫影,生技醫療業,Unqualified,5,77.8,83.47166666666666,-0.06794720763532537,3,0,2,2.714812732,4.07209857919918,25.0,0,0,2026-01-29,1
4972,213,,湯石照明,光電業,Unqualified,5,18.1,19.41604166666667,-0.06778115175381183,3,0,2,1.524,4.880055901793098,6.0,0,0,2026-01-29,1
6227,214,,茂綸,電子通路業,Unqualified,4,86.3,92.54208333333332,-0.06745129468124855,1,0,3,3.09,5.910404204049262,84.4,0,0,2026-01-29,1
2439,215,,美律,電子工業,Unqualified,2,103.0,110.35,-0.06660625283189846,0,0,2,4.990172702000001,4.778552665510949,214.25,0,0,2026-01-29,1
1473,216,,台南,紡織纖維,Unqualified,3,26.45,28.330833333333334,-0.06638821072447575,1,0,2,1.4000000000000001,4.409757954337667,63.0,0,0,2026-01-29,1
1583,217,,程泰,電機機械,Unqualified,2,49.35,52.8325,-0.06591586618085461,0,0,2,3.005484442,4.660416772721262,266.6666666666667,0,0,2026-01-29,1
3015,218,,全漢,電子工業,Unqualified,3,52.8,56.508541666666666,-0.06562798396997507,0,0,3,3.1,5.9642000856886295,259.25,0,0,2026-01-29,1
6161,219,,捷波,電腦及週邊設備業,Unqualified,4,43.0,45.9125,-0.06343588347399949,1,0,3,2.42,6.305465669409459,101.25,0,0,2026-01-29,1
1776,220,,展宇,化學生技醫療,Unqualified,2,15.45,16.480625,-0.06253555311160837,0,0,2,0.7900183000000001,4.139372551834082,126.5,0,0,2026-01-29,1
6670,221,,復盛應用,運動休閒,Unqualified,4,270.5,288.5208333333333,-0.0624593833489782,1,0,3,14.511616370000002,5.962503932464011,102.0,0,0,2026-01-29,1
1264,222,,德麥,食品工業,Unqualified,2,279.0,297.55,-0.06234246345152079,0,0,2,12.9,4.170778350591718,155.33333333333334,0,0,2026-01-29,1
8930,223,,青鋼,鋼鐵工業,Unqualified,4,30.4,32.408750000000005,-0.0619817179002586,1,0,3,1.52,5.215479548314306,101.5,0,0,2026-01-29,1
8066,224,,來思達,居家生活類,Unqualified,3,20.5,21.836875000000003,-0.06122098514553948,1,0,2,1.5,4.2411503846612595,76.33333333333333,0,0,2026-01-29,1
6201,225,,亞弘電,電子工業,Unqualified,3,55.0,58.55916666666667,-0.06077898421824086,0,0,3,3.38,6.331225922901553,295.0,0,0,2026-01-29,1
2029,226,,盛餘,鋼鐵工業,Unqualified,4,21.7,23.092708333333334,-0.06030944111146202,2,0,2,1.316,4.955092010344954,44.25,0,0,2026-01-29,1
1402,227,,遠東新,紡織纖維,Unqualified,2,28.25,30.06270833333333,-0.06029757243539534,0,0,2,1.4300000000000002,4.360610302653379,155.25,0,0,2026-01-29,1
1535,228,,中宇,電機機械,Unqualified,3,52.5,55.85270833333333,-0.060027676962844966,1,0,2,2.65,4.858532262771964,70.75,0,0,2026-01-29,1
2603,229,,長榮,航運業,Unqualified,4,190.0,202.08333333333334,-0.059793814432989735,1,0,3,26.590329756,16.376790302270532,89.5,0,0,2026-01-29,1
8446,230,,華研,文化創意業,Unqualified,3,94.5,100.49624999999999,-0.05966640546289031,0,0,3,5.4,5.315835973629217,289.0,0,0,2026-01-29,1
2608,231,,嘉里大榮,航運業,Unqualified,3,32.9,34.984791666666666,-0.05959137005960927,1,0,2,1.846,4.331559333379366,65.0,0,0,2026-01-29,1
2031,232,,新光鋼,鋼鐵工業,Unqualified,4,39.75,42.23125,-0.0587538848601451,2,0,2,2.387959876,4.979267463982265,33.0,0,0,2026-01-29,1
1220,233,,台榮,食品工業,Unqualified,3,12.9,13.704166666666667,-0.05868044998479784,1,0,2,0.6599999999999999,4.1782817272905906,110.5,0,0,2026-01-29,1
2420,234,,新巨,電子零組件業,Unqualified,4,51.2,54.38041666666667,-0.058484595404289214,1,0,3,3.1100000000000003,6.016698069384349,111.5,0,0,2026-01-29,1
5236,235,,凌陽創新,半導體業,Unqualified,4,122.5,130.09166666666667,-0.05835628723336111,1,0,3,7.48408948,5.5243672572822575,96.75,0,0,2026-01-29,1
6791,236,,虎門科技,資訊服務業,Unqualified,2,108.5,115.22041666666668,-0.05832661312195115,0,0,2,3.347498838,4.032885232748892,144.6,0,0,2026-01-29,1
5490,237,,同亨,電腦及週邊設備業,Unqualified,4,25.85,27.450625,-0.05830923703922943,2,0,2,1.2001053566666666,4.563395028224835,35.333333333333336,0,0,2026-01-29,1
3029,238,,零壹,電子工業,Unqualified,3,113.0,119.94375,-0.057891720077119437,0,0,3,3.8404805140000002,5.703068011220753,240.25,0,0,2026-01-29,1
1234,239,,黑松,食品工業,Unqualified,2,37.05,39.31729166666666,-0.057666527132357974,0,0,2,1.8199999999999998,4.633139739990315,181.0,0,0,2026-01-29,1
7455,240,,樺緯物聯,電腦及週邊設備業,Unqualified,2,66.0,70.03500000000001,-0.05761405011779839,0,0,2,3.6,4.505632040050062,,0,0,2026-01-29,1
2433,241,,互盛電,電子工業,Unqualified,3,46.5,49.27229166666666,-0.056264719437479536,0,0,3,3.34,6.355473479748942,253.5,0,0,2026-01-29,1
2916,242,,滿心,居家生活類,Unqualified,4,46.55,49.294374999999995,-0.05567318786372681,1,0,3,2.8600000000000003,7.068394113273681,110.5,0,0,2026-01-29,1
3666,243,,光耀,光電業,Unqualified,5,27.9,29.54354166666667,-0.0556311658639439,3,0,2,2.0,4.842615012106538,17.0,0,0,2026-01-29,1
6248,244,,沛波,鋼鐵工業,Unqualified,3,21.95,23.236874999999998,-0.055380725678474345,0,0,3,1.6035397539999998,5.875521080069814,345.6666666666667,0,0,2026-01-29,1
3528,245,,安馳,電子通路業,Unqualified,3,70.3,74.41416666666667,-0.05528741167116489,0,0,3,3.0599999999999996,5.439888781134199,138.4,0,0,2026-01-29,1
1218,246,,泰山,食品工業,Unqualified,3,18.45,19.524375,-0.0550273696341112,1,0,2,1.0799641575,4.100360036459242,103.0,0,0,2026-01-29,1
6184,247,,大豐電,其他,Unqualified,3,48.15,50.94020833333333,-0.054774183785729166,0,0,3,2.9607802120000004,5.768936547683403,191.0,0,0,2026-01-29,1
4570,248,,傑生,電機機械,Unqualified,5,69.0,72.95333333333335,-0.05418989308233592,3,0,2,3.75,4.655090952043468,1.0,0,0,2026-01-29,1
1604,249,,聲寶,電器電纜,Unqualified,3,24.15,25.528958333333332,-0.05401545630370739,0,0,3,1.94,6.598956022843035,198.0,0,0,2026-01-29,1
2063,250,,世鎧,鋼鐵工業,Unqualified,5,27.55,29.121875,-0.05397574847086593,3,0,2,1.8125,4.256660281748031,29.2,0,0,2026-01-29,1
2727,251,,王品,觀光餐旅,Unqualified,4,214.5,226.70833333333334,-0.053850395147950786,2,0,2,9.4372093,4.23537835497476,43.0,0,0,2026-01-29,1
1466,252,,聚隆,紡織纖維,Unqualified,3,14.65,15.479583333333332,-0.05359209711717038,0,0,3,0.8031,6.177692307692308,469.0,0,0,2026-01-29,1
6115,253,,鎰勝,電子零組件業,Unqualified,3,46.6,49.23041666666666,-0.053430721183550044,0,0,3,2.904,5.926234858088636,331.3333333333333,0,0,2026-01-29,1
