stock_id,策略排名,K線圖,名稱,產業分類,評級,總分,收盤價,乖離率,cash_dividend,平均殖利率,平均填息天數,price_date,年線(240MA),平均ROA,本業獲利比,殖利率評分,填息能見度評分,ROA評分,評級分數
6206,68,,飛捷,電子工業,Superior,7,90.2,-0.19491840590274154,4.5,5.081602026464673,74.25,2026-02-02,112.03833333333333,12.332908479241617,97.25973909435473,3,1,3,2
8482,69,,商億-KY,居家生活,Superior,6,48.8,-0.19238168791675575,4.71,6.474448181998933,521.0,2026-02-02,60.42458333333333,14.125923395629819,91.28399285509857,3,0,3,2
6754,70,,匯僑設計,居家生活,Superior,6,44.3,-0.1880653549350309,2.92,5.194054176357548,178.75,2026-02-02,54.561041666666675,5.9217402566649735,91.46210594003676,3,0,3,2
4138,71,,曜亞,生技醫療業,Superior,7,59.9,-0.18676283411115827,4.25,5.045068979067707,79.0,2026-02-02,73.65625,7.090191657198399,91.27955312324981,3,1,3,2
6817,72,,溫士頓,生技醫療業,Superior,7,83.4,-0.1837034318223527,5.12,5.471093529985957,65.0,2026-02-02,102.16875,10.273590511484404,73.34354675664306,3,1,3,2
2609,73,,陽明,航運業,Superior,6,52.3,-0.174161627991131,12.375,15.642772730595821,196.0,2026-02-02,63.329583333333325,14.154978133226072,57.268711462454604,3,0,3,2
2393,74,,億光,電子工業,Superior,6,56.4,-0.1708676610211019,3.232,5.542662466099966,121.0,2026-02-02,68.02291666666666,5.307732093322729,83.76464484855035,3,0,3,2
6176,75,,瑞儀,光電業,Superior,6,119.5,-0.16945397680378782,9.321837676,6.931243110252574,231.25,2026-02-02,143.88125,9.030539048935921,85.15367068174523,3,0,3,2
6245,76,,立端,通信網路業,Superior,6,67.6,-0.16800426664478665,3.71566019,4.6241689400392,82.0,2026-02-02,81.25041666666668,9.327696318307302,90.1034711614875,2,1,3,2
3512,77,,皇龍,建材營造,Superior,7,20.3,-0.16754946519495598,2.4811166879999997,7.330789060580078,44.75,2026-02-02,24.38583333333333,3.396095481468997,80.3588318268529,3,2,2,2
9939,78,,宏全,其他,Superior,7,117.0,-0.1664564007421151,4.849997501999999,4.415068636552315,19.75,2026-02-02,140.36458333333334,4.885072114647822,103.46225661800153,2,3,2,2
2385,79,,群光,電子零組件業,Superior,6,116.0,-0.16630481980026046,7.38,6.017998335466066,292.0,2026-02-02,139.13958333333332,9.010969462970582,86.00661881133242,3,0,3,2
5465,80,,富驊,電腦及週邊設備業,Superior,7,29.2,-0.16620066865756872,1.42,5.016310798426599,119.6,2026-02-02,35.02041666666666,5.069382214392562,88.84520379051338,3,1,3,2
4438,81,,廣越,紡織纖維,Superior,7,67.2,-0.16546360545801708,4.524700040000001,4.092042833645953,36.0,2026-02-02,80.52375,5.149227218621102,87.17742836947478,2,2,3,2
